275944715313407, 329981496837480, 276965326577668 @ -5, -143, -7
238609388495927, 81475972229533, 238982419139611 @ 5, 518, 14
397068825678407, 310418363796472, 370697104786500 @ 5, -8, 19
362854687815645, 360246918605182, 392051438116220 @ 6, -80, -39
195849494248247, 231517070206992, 210525689703460 @ 6, 53, -40
290079574987041, 253886213372554, 303021283252352 @ 6, 28, -21
345923294201072, 368021479917237, 370506486789460 @ 6, -104, -35
319299466892852, 297826302921192, 366781457924515 @ 6, -29, -72
319892547005989, 218683888402226, 273108482112428 @ 7, 89, 69
382593602115381, 328593525217883, 435200220738286 @ 7, -32, -61
180199217750901, 234240777397269, 187695035513335 @ 7, 6, 26
391511332725299, 330534334676760, 358504004483827 @ 9, -29, 30
193215800212411, 247335541206259, 259649568135802 @ 9, -58, -397
311335122608675, 107554196306841, 272980772027167 @ 9, 262, 62
246384530514657, 302749920147822, 212025474730100 @ 10, -126, 109
189645462731372, 252662848961763, 194455991578315 @ 10, -114, 36
281044650604797, 228139153674672, 288712115516572 @ 10, 75, -7
283744658562233, 383612458746660, 314210879206330 @ 11, -217, -49
368105099468095, 291185034478802, 349681748869041 @ 13, 5, 22
317111331875471, 288735223547925, 331133029669072 @ 13, -14, -15
342870245105431, 365135174956858, 309031106611650 @ 13, -98, 46
277723713573074, 130100196298285, 270543445555915 @ 14, 266, 26
262037275970787, 67997599685524, 463000412132224 @ 15, 433, -433
282078387816061, 207741060588284, 257948399799438 @ 16, 113, 58
235037829181355, 260756301030290, 103885709449100 @ 17, -23, 421
192967568319863, 207820773238148, 205155703320268 @ 17, 212, -13
229324228187003, 322931814947828, 252933242340176 @ 17, -233, -47
271217978521044, 247886279867912, 284490970063261 @ 18, 35, -10
187417435701745, 348575505839391, 213223104916546 @ 19, -888, -121
196880035506727, 197991239988577, 211883644603330 @ 21, 254, -25
307005115330123, 134654207523300, 328911615092888 @ 22, 216, -18
202441688415383, 186215460098952, 248838873587716 @ 23, 290, -181
301933945162341, 289515561999802, 338428854871340 @ 24, -20, -39
240949484593267, 112508721469829, 286453550534956 @ 25, 386, -91
198637581319616, 285653169740981, 211197923290986 @ 26, -244, -5
289003853546736, 296355711479490, 273972934720401 @ 28, -39, 48
234419048488535, 257409269107944, 245717327411428 @ 29, -9, 5
237008719739749, 232674436142556, 121319089561890 @ 39, 63, 351
366212737163817, 337699868611787, 377511016086710 @ 39, -34, 15
176287266640963, 256169421940834, 198148881082558 @ 39, -262, -112
273369952548205, 304098946775693, 377816006952642 @ 39, -62, -153
347563665003169, 358929055378133, 465871863501621 @ 39, -68, -102
